Date,Open,High,Low,Close,Volume
3/14/2025,247.31,251.58,240.73,249.98,"100,242,305"
3/13/2025,248.13,248.29,232.6,240.68,"114,813,508"
3/12/2025,247.22,251.84,241.1,248.09,"142,215,703"
3/11/2025,225.31,237.06,217.02,230.58,"174,896,406"
3/10/2025,252.54,253.37,220,222.15,"189,076,891"
3/7/2025,259.32,266.25,250.73,262.67,"102,369,602"
3/6/2025,272.06,272.65,260.02,263.45,"98,451,570"
3/5/2025,272.92,279.55,267.71,279.1,"94,042,914"
3/4/2025,270.93,284.35,261.84,272.04,"126,706,602"
3/3/2025,300.34,303.94,277.3,284.65,"115,551,398"
2/28/2025,279.5,293.88,273.6,292.98,"115,697,000"
2/27/2025,291.16,297.23,280.88,281.95,"101,748,203"
2/26/2025,303.72,309,288.04,290.8,"100,118,305"
2/25/2025,327.03,328.89,297.25,302.8,"134,228,797"
2/24/2025,338.14,342.4,324.7,330.53,"76,052,320"
2/21/2025,353.44,354.98,334.42,337.8,"74,058,648"
2/20/2025,361.51,362.3,348,354.4,"45,965,352"
2/19/2025,354,367.34,353.67,360.56,"67,094,367"
2/18/2025,355.01,359.1,350.02,354.11,"51,631,699"
2/14/2025,360.62,362,347.5,355.84,"68,277,281"
2/13/2025,345,358.69,342.85,355.94,"89,441,523"
2/12/2025,329.94,346.4,329.12,336.51,"105,382,703"
2/11/2025,345.8,349.37,325.1,328.5,"118,543,398"
2/10/2025,356.21,362.7,350.51,350.73,"77,514,898"
2/7/2025,370.19,380.55,360.34,361.62,"70,298,258"
2/6/2025,373.03,375.4,363.18,374.32,"77,918,234"
2/5/2025,387.51,388.39,375.53,378.17,"57,614,719"
2/4/2025,382.63,394,381.4,392.21,"57,072,238"
2/3/2025,386.68,389.17,374.36,383.68,"93,732,117"
1/31/2025,401.53,419.99,401.34,404.6,"83,568,227"
1/30/2025,410.78,412.5,384.41,400.28,"98,092,883"
1/29/2025,395.21,398.59,384.48,389.1,"68,033,648"
1/28/2025,396.91,400.59,386.5,398.09,"48,910,680"
1/27/2025,394.8,406.69,389,397.15,"58,125,512"
1/24/2025,414.45,418.88,405.78,406.58,"56,427,152"
1/23/2025,416.06,420.73,408.95,412.38,"50,690,594"
1/22/2025,416.81,428,414.59,415.11,"60,963,340"
1/21/2025,432.64,433.2,406.31,424.07,"87,320,891"
1/17/2025,421.5,439.74,419.75,426.5,"94,991,430"
1/16/2025,423.49,424,409.13,413.82,"68,335,148"
1/15/2025,409.9,429.8,405.66,428.22,"81,375,453"
1/14/2025,414.34,422.64,394.54,396.36,"84,565,023"
1/13/2025,383.21,403.79,380.07,403.31,"67,580,484"
1/10/2025,391.4,399.28,377.29,394.74,"62,287,328"
1/8/2025,392.95,402.5,387.4,394.94,"73,038,805"
1/7/2025,405.83,414.33,390,394.36,"75,699,531"
1/6/2025,423.2,426.43,401.7,411.05,"85,516,531"
1/3/2025,381.48,411.88,379.45,410.44,"95,423,328"
1/2/2025,390.1,392.73,373.04,379.28,"109,710,703"
12/31/2024,423.79,427.93,402.54,403.84,"76,825,117"
12/30/2024,419.4,427,415.75,417.41,"64,941,008"
12/27/2024,449.52,450,426.5,431.66,"82,666,812"
12/26/2024,465.16,465.33,451.02,454.13,"76,651,211"
12/24/2024,435.9,462.78,435.14,462.28,"59,551,754"
12/23/2024,431,434.51,415.41,430.6,"72,698,062"
12/20/2024,425.51,447.08,417.64,421.06,"132,216,203"
12/19/2024,451.88,456.36,420.02,436.17,"118,566,094"
12/18/2024,466.5,488.54,427.01,440.13,"149,340,797"
12/17/2024,475.9,483.99,457.51,479.86,"131,223,000"
12/16/2024,441.09,463.19,436.15,463.02,"114,083,797"
12/13/2024,420,436.3,415.71,436.23,"89,000,156"
12/12/2024,424.84,429.3,415,418.1,"87,752,234"
12/11/2024,409.7,424.88,402.38,424.77,"104,287,602"
12/10/2024,392.68,409.73,390.85,400.99,"97,563,586"
12/9/2024,397.61,404.8,378.01,389.79,"96,359,172"
12/6/2024,377.42,389.49,370.8,389.22,"81,455,828"
12/5/2024,359.87,375.43,359.5,369.49,"81,403,570"
12/4/2024,353,358.1,348.6,357.93,"50,810,871"
12/3/2024,351.8,355.69,348.2,351.42,"58,267,199"
12/2/2024,352.38,360,351.15,357.09,"77,986,477"
11/29/2024,336.08,345.45,334.65,345.16,"37,167,621"
11/27/2024,341.8,342.55,326.59,332.89,"57,896,441"
11/26/2024,341,346.96,335.66,338.23,"62,295,859"
11/25/2024,360.14,361.93,338.2,338.59,"95,890,898"
11/22/2024,341.09,361.53,337.7,352.56,"89,140,719"
11/21/2024,343.81,347.99,335.28,339.64,"58,011,719"
11/20/2024,345,346.6,334.3,342.03,"66,340,648"
11/19/2024,335.76,347.38,332.75,346,"88,852,445"
11/18/2024,340.73,348.55,330.01,338.74,"126,547,508"
11/15/2024,310.57,324.68,309.22,320.72,"114,440,305"
11/14/2024,327.69,329.98,310.37,311.18,"120,726,094"
11/13/2024,335.85,344.6,322.5,330.24,"125,405,602"
11/12/2024,342.74,345.84,323.31,328.49,"155,726,000"
11/11/2024,346.3,358.64,336,350,"210,521,594"
11/8/2024,299.14,328.71,297.66,321.22,"204,782,797"
11/7/2024,288.89,299.75,285.52,296.91,"117,309,203"
11/6/2024,284.67,289.59,275.62,288.53,"165,228,703"
11/5/2024,247.34,255.28,246.21,251.44,"69,282,516"
11/4/2024,244.56,248.9,238.88,242.84,"68,802,352"
11/1/2024,252.04,254,246.63,248.98,"57,544,762"
10/31/2024,257.99,259.75,249.25,249.85,"66,575,289"
10/30/2024,258.04,263.35,255.82,257.55,"53,993,578"
10/29/2024,264.51,264.98,255.51,259.52,"80,521,750"
10/28/2024,270,273.54,262.24,262.51,"107,653,602"
10/25/2024,256.01,269.49,255.32,269.19,"161,611,906"
10/24/2024,244.68,262.12,242.65,260.48,"204,491,906"
10/23/2024,217.13,218.72,212.11,213.65,"80,938,891"
10/22/2024,217.31,218.22,215.26,217.97,"43,268,738"
10/21/2024,218.9,220.48,215.73,218.85,"47,328,992"
10/18/2024,220.71,222.28,219.23,220.7,"49,611,871"
10/17/2024,221.59,222.08,217.9,220.89,"50,791,781"
10/16/2024,221.4,222.82,218.93,221.33,"49,632,820"
10/15/2024,220.01,224.26,217.12,219.57,"62,988,793"
10/14/2024,220.13,221.91,213.74,219.16,"86,291,922"
10/11/2024,220.13,223.34,214.38,217.8,"142,628,891"
10/10/2024,241.81,242.79,232.34,238.77,"83,087,055"
10/9/2024,243.82,247.43,239.51,241.05,"66,289,531"
10/8/2024,243.56,246.21,240.56,244.5,"56,303,160"
10/7/2024,249,249.83,240.7,240.83,"68,113,273"
10/4/2024,246.69,250.96,244.58,250.08,"86,726,289"
10/3/2024,244.48,249.79,237.81,240.66,"80,729,242"
10/2/2024,247.55,251.16,241.5,249.02,"93,983,930"
10/1/2024,262.67,263.98,248.53,258.02,"87,397,609"
9/30/2024,259.04,264.86,255.77,261.63,"80,873,375"
9/27/2024,257.38,260.7,254.12,260.46,"70,988,070"
9/26/2024,260.6,261.75,251.53,254.22,"67,142,195"
9/25/2024,252.54,257.05,252.28,257.02,"65,034,320"
9/24/2024,254.08,257.19,249.05,254.27,"88,491,000"
9/23/2024,242.61,250,241.92,250,"86,927,195"
9/20/2024,241.52,243.99,235.92,238.25,"99,879,070"
9/19/2024,234,244.24,232.13,243.92,"102,694,602"
9/18/2024,230.09,235.68,226.88,227.2,"78,010,203"
9/17/2024,229.45,234.57,226.55,227.87,"66,761,641"
9/16/2024,229.3,229.96,223.53,226.78,"54,323,000"
9/13/2024,228,232.67,226.32,230.29,"59,515,113"
9/12/2024,224.66,231.45,223.83,229.81,"72,020,039"
9/11/2024,224.55,228.47,216.8,228.13,"83,548,633"
9/10/2024,220.07,226.4,218.64,226.17,"78,891,133"
9/9/2024,216.2,219.87,213.67,216.27,"67,443,523"
9/6/2024,232.6,233.6,210.51,210.73,"112,177,000"
9/5/2024,223.49,235,222.25,230.17,"119,355,000"
9/4/2024,210.59,222.22,210.57,219.41,"80,651,766"
9/3/2024,215.26,219.9,209.64,210.6,"76,551,800"
8/30/2024,208.63,214.57,207.03,214.11,"63,370,609"
8/29/2024,209.8,214.89,205.97,206.28,"62,308,820"
8/28/2024,209.72,211.84,202.59,205.75,"64,116,352"
8/27/2024,213.25,215.66,206.94,209.21,"62,821,391"
8/26/2024,218.75,219.09,211.01,213.21,"59,301,191"
8/23/2024,214.46,221.48,214.21,220.32,"81,525,211"
8/22/2024,223.82,224.8,210.32,210.66,"79,514,477"
8/21/2024,222.67,224.66,218.86,223.27,"70,145,961"
8/20/2024,224.88,228.22,219.56,221.1,"74,001,188"
8/19/2024,217.07,222.98,214.09,222.72,"76,435,219"
8/16/2024,211.15,219.8,210.8,216.12,"88,765,117"
8/15/2024,205.02,215.88,204.82,214.14,"89,848,531"
8/14/2024,207.39,208.44,198.75,201.38,"70,250,008"
8/13/2024,198.47,208.49,197.06,207.83,"76,247,391"
8/12/2024,199.02,199.26,194.67,197.49,"64,044,898"
8/9/2024,197.05,200.88,195.11,200,"58,648,273"
8/8/2024,195.7,200.7,192.04,198.84,"65,033,871"
8/7/2024,200.77,203.49,191.48,191.76,"71,159,773"
8/6/2024,200.75,202.9,192.67,200.64,"73,783,938"
8/5/2024,185.22,203.88,182,198.88,"100,308,797"
8/2/2024,214.88,216.13,205.78,207.67,"82,880,117"
8/1/2024,227.69,231.87,214.33,216.86,"83,861,906"
7/31/2024,227.9,234.68,226.79,232.07,"67,497,008"
7/30/2024,232.25,232.41,220,222.62,"100,560,305"
7/29/2024,224.9,234.27,224.7,232.1,"129,201,797"
7/26/2024,221.19,222.28,215.33,219.8,"94,604,148"
7/25/2024,216.8,226,216.23,220.25,"100,636,492"
7/24/2024,225.42,225.99,214.71,215.99,"167,942,891"
7/23/2024,253.6,255.76,245.63,246.38,"111,928,203"
7/22/2024,244.21,253.21,243.75,251.51,"101,225,398"
7/19/2024,247.79,249.44,236.83,239.2,"87,403,906"
7/18/2024,251.09,257.14,247.2,249.23,"110,869,000"
7/17/2024,252.73,258.47,246.18,248.5,"115,584,797"
7/16/2024,255.31,258.62,245.8,256.56,"126,332,492"
7/15/2024,255.97,265.6,251.73,252.64,"146,912,891"
7/12/2024,235.8,251.84,233.09,248.23,"155,955,812"
7/11/2024,263.3,271,239.65,241.03,"221,707,297"
7/10/2024,262.8,267.59,257.86,263.26,"128,519,398"
7/9/2024,251,265.61,250.3,262.33,"160,742,500"
7/8/2024,247.71,259.44,244.57,252.94,"157,219,594"
7/5/2024,249.81,252.37,242.46,251.52,"154,501,203"
7/3/2024,234.56,248.35,234.25,246.39,"166,561,500"
7/2/2024,218.89,231.3,218.06,231.26,"205,047,906"
7/1/2024,201.02,213.23,200.85,209.86,"135,691,391"
6/28/2024,199.55,203.2,195.26,197.88,"95,438,070"
6/27/2024,195.17,198.72,194.05,197.42,"72,746,523"
6/26/2024,186.54,197.76,186.36,196.37,"95,737,070"
6/25/2024,184.4,187.97,182.01,187.35,"63,678,273"
6/24/2024,184.97,188.8,182.55,182.58,"61,992,070"
6/21/2024,182.3,183.95,180.69,183.01,"63,029,480"
6/20/2024,184.68,185.21,179.66,181.57,"55,893,141"
6/18/2024,186.56,187.2,182.37,184.86,"68,982,273"
6/17/2024,177.92,188.81,177,187.44,"109,786,094"
6/14/2024,185.8,186,176.92,178.01,"82,038,195"
6/13/2024,188.39,191.08,181.23,182.47,"118,984,094"
6/12/2024,171.12,180.55,169.8,177.29,"90,389,445"
6/11/2024,173.92,174.75,167.41,170.66,"64,761,930"
6/10/2024,176.06,178.57,173.17,173.79,"50,869,680"
6/7/2024,176.13,179.35,175.58,177.48,"56,244,930"
6/6/2024,174.6,179.73,172.73,177.94,"69,887,023"
6/5/2024,175.35,176.15,172.13,175,"57,953,762"
6/4/2024,174.78,177.76,174,174.77,"60,056,340"
6/3/2024,178.13,182.64,174.49,176.29,"68,568,922"
5/31/2024,178.5,180.32,173.82,178.08,"67,314,602"
5/30/2024,178.58,182.67,175.38,178.79,"77,784,758"
5/29/2024,174.19,178.15,173.93,176.19,"54,782,648"
5/28/2024,176.4,178.25,173.16,176.75,"59,736,621"
5/24/2024,174.84,180.08,173.73,179.24,"65,584,477"
5/23/2024,181.8,181.9,173.26,173.74,"71,975,508"
5/22/2024,182.85,183.8,178.12,180.11,"88,313,477"
5/21/2024,175.51,186.88,174.71,186.6,"115,266,492"
5/20/2024,177.56,177.75,173.52,174.95,"61,727,434"
5/17/2024,173.55,179.63,172.75,177.46,"77,445,852"
5/16/2024,174.1,175.79,171.43,174.84,"59,812,219"
5/15/2024,179.9,180,173.11,173.99,"79,662,992"
5/14/2024,174.5,179.49,174.07,177.55,"86,407,422"
5/13/2024,170,175.4,169,171.89,"67,018,898"
5/10/2024,173.05,173.06,167.75,168.47,"72,627,188"
5/9/2024,175.01,175.62,171.37,171.97,"65,950,289"
5/8/2024,171.59,176.06,170.15,174.72,"79,969,484"
5/7/2024,182.4,183.26,177.4,177.81,"75,045,852"
5/6/2024,183.8,187.56,182.2,184.76,"84,390,250"
5/3/2024,182.1,184.78,178.42,181.19,"75,491,539"
5/2/2024,182.86,184.6,176.02,180.01,"89,148,039"
5/1/2024,182,185.86,179.01,179.99,"92,829,719"
4/30/2024,186.98,190.95,182.84,183.28,"127,031,797"
4/29/2024,188.42,198.87,184.54,194.05,"243,869,703"
4/26/2024,168.85,172.12,166.37,168.29,"109,815,695"
4/25/2024,158.96,170.88,158.36,170.18,"126,427,508"
4/24/2024,162.84,167.97,157.51,162.13,"181,178,000"
4/23/2024,143.33,147.26,141.11,144.68,"124,545,102"
4/22/2024,140.56,144.44,138.8,142.05,"107,097,602"
4/19/2024,148.97,150.94,146.22,147.05,"87,074,492"
4/18/2024,151.25,152.2,148.7,149.93,"96,098,828"
4/17/2024,157.64,158.33,153.78,155.45,"82,439,719"
4/16/2024,156.74,158.19,153.75,157.11,"96,999,961"
4/15/2024,170.24,170.69,161.38,161.48,"100,245,297"
4/12/2024,172.34,173.81,170.36,171.05,"64,722,672"
4/11/2024,172.55,175.88,168.51,174.6,"94,515,992"
4/10/2024,173.04,174.93,170.01,171.76,"84,532,406"
4/9/2024,172.91,179.22,171.92,176.88,"103,232,703"
4/8/2024,169.34,174.5,167.79,172.98,"104,423,297"
4/5/2024,169.08,170.86,160.51,164.9,"143,157,594"
4/4/2024,170.07,177.19,168.01,171.11,"123,162,000"
4/3/2024,164.02,168.82,163.28,168.38,"82,950,141"
4/2/2024,164.75,167.69,163.43,166.63,"116,650,602"
4/1/2024,176.17,176.75,170.21,175.22,"81,562,125"
3/28/2024,177.45,179.57,175.3,175.79,"77,654,844"
3/27/2024,181.41,181.91,176,179.83,"81,804,039"
3/26/2024,178.58,184.25,177.38,177.67,"113,186,203"
3/25/2024,168.76,175.24,168.73,172.63,"74,228,625"
3/22/2024,166.69,171.2,166.3,170.83,"75,580,641"
3/21/2024,176.39,178.18,171.8,172.82,"73,178,008"
3/20/2024,173,176.25,170.82,175.66,"83,846,727"
3/19/2024,172.36,172.82,167.42,171.32,"77,271,430"
3/18/2024,170.02,174.72,165.9,173.8,"108,214,398"
3/15/2024,163.16,165.18,160.76,163.57,"97,146,828"
3/14/2024,167.77,171.17,160.51,162.5,"126,325,695"
3/13/2024,173.05,176.05,169.15,169.48,"106,524,492"
3/12/2024,177.77,179.43,172.41,177.54,"87,391,680"
3/11/2024,175.45,182.87,174.8,177.77,"85,391,531"
3/8/2024,181.5,182.73,174.7,175.34,"85,544,641"
3/7/2024,174.35,180.04,173.7,178.65,"102,129,000"
3/6/2024,179.99,181.58,173.7,176.54,"107,920,898"
3/5/2024,183.05,184.59,177.57,180.74,"119,660,797"
3/4/2024,198.73,199.75,186.72,188.14,"134,334,891"
3/1/2024,200.52,204.52,198.5,202.64,"82,243,117"
2/29/2024,204.18,205.28,198.45,201.88,"85,906,969"
2/28/2024,200.42,205.3,198.44,202.04,"99,806,172"
2/27/2024,204.04,205.6,198.26,199.73,"108,645,398"
2/26/2024,192.29,201.78,192,199.4,"111,747,102"
2/23/2024,195.31,197.57,191.5,191.97,"78,841,922"
2/22/2024,194,198.32,191.36,197.41,"92,739,453"
2/21/2024,193.36,199.44,191.95,194.77,"103,844,000"
2/20/2024,196.13,198.6,189.13,193.76,"104,545,797"
2/16/2024,202.06,203.17,197.4,199.95,"111,346,703"
2/15/2024,189.16,200.88,188.86,200.45,"120,831,797"
2/14/2024,185.3,188.89,183.35,188.71,"81,202,992"
2/13/2024,183.99,187.26,182.11,184.02,"86,759,477"
2/12/2024,192.11,194.73,187.28,188.13,"95,498,602"
2/9/2024,190.18,194.12,189.48,193.57,"84,476,352"
2/8/2024,189,191.62,185.58,189.56,"83,034,039"
2/7/2024,188.18,189.79,182.68,187.58,"111,535,203"
2/6/2024,177.21,186.49,177.11,185.1,"122,676,000"
2/5/2024,184.26,184.68,175.01,181.06,"134,294,406"
2/2/2024,185.04,188.69,182,187.91,"110,612,703"
2/1/2024,188.5,189.88,184.28,188.86,"91,843,281"
1/31/2024,187,193.97,185.85,187.29,"103,221,398"
1/30/2024,195.33,196.36,190.61,191.59,"109,982,305"
1/29/2024,185.63,191.48,183.67,190.93,"125,013,102"
1/26/2024,185.5,186.78,182.1,183.25,"107,343,203"
1/25/2024,189.7,193,180.06,182.63,"198,076,797"
1/24/2024,211.88,212.73,206.77,207.83,"123,369,906"
1/23/2024,211.3,215.65,207.75,209.14,"106,605,906"
1/22/2024,212.26,217.8,206.27,208.8,"117,952,492"
1/19/2024,209.99,213.19,207.56,212.19,"102,260,305"
1/18/2024,216.88,217.45,208.74,211.88,"108,595,398"
1/17/2024,214.86,215.67,212.01,215.55,"103,164,398"
1/16/2024,215.1,223.49,212.18,219.91,"115,355,000"
